country,food_category,consumption,co2_emmission,food_division
Cambodia,Lamb & Goat,0,0,Animal
Cambodia,Fish,39.59,63.21,Animal
Cambodia,Eggs,1.37,1.26,Animal
Cambodia,Milk - inc. cheese,3.47,4.94,Non-Animal
Cambodia,Wheat and Wheat Products,2.74,0.52,Non-Animal
Cambodia,Rice,159.1,203.6,Non-Animal
Cambodia,Soybeans,4.33,1.95,Non-Animal
Cambodia,Nuts inc. Peanut Butter,1.25,2.21,Non-Animal
Cameroon,Pork,1.47,5.2,Animal
Cameroon,Poultry,3.29,3.53,Animal
Cameroon,Beef,4.17,128.68,Animal
Cameroon,Lamb & Goat,1.4,49.03,Animal
Cameroon,Fish,14.71,23.49,Animal
Cameroon,Eggs,0.4,0.37,Animal
Cameroon,Milk - inc. cheese,15.27,21.75,Non-Animal
Cameroon,Wheat and Wheat Products,22.6,4.31,Non-Animal
Cameroon,Rice,23.85,30.52,Non-Animal
Cameroon,Soybeans,0.64,0.29,Non-Animal
Cameroon,Nuts inc. Peanut Butter,9.29,16.44,Non-Animal
Canada,Pork,22.81,80.74,Animal
Canada,Poultry,36.68,39.4,Animal
Canada,Beef,30.25,933.45,Animal
Canada,Lamb & Goat,0.97,33.97,Animal
Canada,Fish,14.56,23.25,Animal
Canada,Eggs,12.95,11.9,Animal
Canada,Milk - inc. cheese,187.77,267.46,Non-Animal
Canada,Wheat and Wheat Products,84.96,16.2,Non-Animal
Canada,Rice,12.65,16.19,Non-Animal
Canada,Soybeans,0.94,0.42,Non-Animal
Canada,Nuts inc. Peanut Butter,8.01,14.18,Non-Animal
Chile,Pork,24.68,87.35,Animal
Chile,Poultry,36.52,39.23,Animal
Chile,Beef,23.86,736.27,Animal
Chile,Lamb & Goat,0.42,14.71,Animal
Chile,Fish,7.65,12.21,Animal
Chile,Eggs,9.97,9.16,Animal
Chile,Milk - inc. cheese,116.11,165.39,Non-Animal
Chile,Wheat and Wheat Products,104.74,19.97,Non-Animal
Chile,Rice,8.85,11.33,Non-Animal
Chile,Soybeans,0.04,0.02,Non-Animal
Chile,Nuts inc. Peanut Butter,2.22,3.93,Non-Animal
China,Pork,38.43,136.02,Animal
China,Poultry,13.2,14.18,Animal
China,Beef,5.12,157.99,Animal
China,Lamb & Goat,3.13,109.61,Animal
China,Fish,21.01,33.55,Animal
China,Eggs,18.76,17.23,Animal
China,Milk - inc. cheese,32.66,46.52,Non-Animal
China,Wheat and Wheat Products,63.36,12.08,Non-Animal
China,Rice,78.18,100.05,Non-Animal
China,Soybeans,3.66,1.65,Non-Animal
China,Nuts inc. Peanut Butter,6.39,11.31,Non-Animal
Colombia,Pork,6.51,23.04,Animal
Colombia,Poultry,27.57,29.62,Animal
Colombia,Beef,16.36,504.84,Animal
Colombia,Lamb & Goat,0.21,7.35,Animal
Colombia,Fish,6.01,9.6,Animal
Colombia,Eggs,10.78,9.9,Animal
Colombia,Milk - inc. cheese,108.47,154.5,Non-Animal
Colombia,Wheat and Wheat Products,29.79,5.68,Non-Animal
Colombia,Rice,28.02,35.86,Non-Animal
Colombia,Soybeans,0.89,0.4,Non-Animal
Colombia,Nuts inc. Peanut Butter,0.42,0.74,Non-Animal
Congo,Pork,2.39,8.46,Animal
Congo,Poultry,13.02,13.99,Animal
Congo,Beef,4.35,134.23,Animal
Congo,Lamb & Goat,0.4,14.01,Animal
Congo,Fish,26.22,41.86,Animal
Congo,Eggs,0.6,0.55,Animal
Congo,Milk - inc. cheese,10.69,15.23,Non-Animal
Congo,Wheat and Wheat Products,40.07,7.64,Non-Animal
Congo,Rice,16.51,21.13,Non-Animal
Congo,Soybeans,0,0,Non-Animal
Congo,Nuts inc. Peanut Butter,3.08,5.45,Non-Animal
Costa Rica,Pork,10.28,36.39,Animal
Costa Rica,Poultry,24.47,26.29,Animal
Costa Rica,Beef,15.23,469.97,Animal
Costa Rica,Lamb & Goat,0.02,0.7,Animal
Costa Rica,Fish,11.32,18.07,Animal
Costa Rica,Eggs,10.55,9.69,Animal
Costa Rica,Milk - inc. cheese,183.28,261.06,Non-Animal
Costa Rica,Wheat and Wheat Products,39.31,7.5,Non-Animal
Costa Rica,Rice,45.69,58.47,Non-Animal
Costa Rica,Soybeans,1.54,0.69,Non-Animal
Costa Rica,Nuts inc. Peanut Butter,1.38,2.44,Non-Animal
Croatia,Pork,42.79,151.46,Animal
Croatia,Poultry,8.52,9.15,Animal
Croatia,Beef,12.41,382.95,Animal
Croatia,Lamb & Goat,1.71,59.88,Animal
Croatia,Fish,15.83,25.28,Animal
Croatia,Eggs,8.48,7.79,Animal
Croatia,Milk - inc. cheese,231.02,329.06,Non-Animal
Croatia,Wheat and Wheat Products,106.59,20.33,Non-Animal
Croatia,Rice,2.64,3.38,Non-Animal
Croatia,Soybeans,0,0,Non-Animal
Croatia,Nuts inc. Peanut Butter,3.88,6.87,Non-Animal
Cuba,Pork,19.82,70.15,Animal
Cuba,Poultry,20.15,21.65,Animal
Cuba,Beef,6.39,197.18,Animal
Cuba,Lamb & Goat,1.24,43.42,Animal
Cuba,Fish,4.76,7.6,Animal
Cuba,Eggs,9.82,9.02,Animal
Cuba,Milk - inc. cheese,99.94,142.35,Non-Animal
Cuba,Wheat and Wheat Products,54.62,10.42,Non-Animal
Cuba,Rice,67.7,86.64,Non-Animal
Cuba,Soybeans,6.34,2.85,Non-Animal
Cuba,Nuts inc. Peanut Butter,0.23,0.41,Non-Animal
Cyprus,Pork,38.38,135.85,Animal
Cyprus,Poultry,24.45,26.26,Animal
Cyprus,Beef,5.79,178.67,Animal
Cyprus,Lamb & Goat,5.05,176.85,Animal
Cyprus,Fish,14.86,23.73,Animal
Cyprus,Eggs,8.98,8.25,Animal
Cyprus,Milk - inc. cheese,113.31,161.4,Non-Animal
Cyprus,Wheat and Wheat Products,83.25,15.88,Non-Animal
Cyprus,Rice,4.94,6.32,Non-Animal
Cyprus,Soybeans,0.04,0.02,Non-Animal
Cyprus,Nuts inc. Peanut Butter,4.6,8.14,Non-Animal
Czech Republic,Pork,41.17,145.72,Animal
Czech Republic,Poultry,19.09,20.51,Animal
Czech Republic,Beef,8.15,251.49,Animal
Czech Republic,Lamb & Goat,0.34,11.91,Animal
